t,x,y,z,fl
1.542434624365999937e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.811325086595490575e+03,4.622576388353374428e-06
1.542434940171000004e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.804175086488947272e+03,5.262458499362585505e-06
1.542435255921000004e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.796925086380913854e+03,4.491324589337298508e-06
1.542435570506000042e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.797350086387246847e+03,3.888101582109384256e-06
1.542435885821000099e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798150086399167776e+03,3.863760539709375131e-06
1.542436196983999968e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798100086398422718e+03,3.733089307101539933e-06
1.542436509835999966e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798100086398422718e+03,3.974279577126424045e-06
1.542436821736999989e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798025086397305131e+03,3.936778040381946752e-06
1.542437133494999886e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798000086396932602e+03,3.745454718337038466e-06
1.542437447187000036e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798000086396932602e+03,3.652616965151166160e-06
1.542437761937000036e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798950086411088705e+03,3.922284228394675510e-06
1.542438073657000065e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798900086410343647e+03,3.741001901713741581e-06
1.542438386170000076e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.798300086401402950e+03,3.779625164686200876e-06
1.542438702194000006e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.800100086428225040e+03,3.814002327479798323e-06
1.542439016506999969e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.797525086389854550e+03,3.800448743751099227e-06
1.542439329918999910e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.796425086373463273e+03,3.864053370651061740e-06
1.542439643831000090e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.796700086377561092e+03,3.735050165994323077e-06
1.542439955293999910e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.796675086377188563e+03,3.936480776139008335e-06
1.542440267858000040e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.795625086361542344e+03,3.765371016253928493e-06
1.542440580858000040e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.794000086337327957e+03,4.066332684776333554e-06
1.542440892532000065e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.793925086336210370e+03,4.037258785830598147e-06
1.542441207329999924e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792875086320564151e+03,4.081228941525561756e-06
1.542441519944000006e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792825086319819093e+03,4.177826304851636322e-06
1.542441832394000053e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792750086318701506e+03,4.236956625606412846e-06
1.542442145323999882e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792175086310133338e+03,3.984742547712722758e-06
1.542442458193000078e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792150086309760809e+03,4.044920269693520675e-06
1.542442773125000000e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.793000086322426796e+03,4.230295745200488561e-06
1.542443084730000019e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.793025086322799325e+03,3.959937082000102945e-06
1.542443401229000092e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792050086308270693e+03,4.336065635872478496e-06
1.542443717515000105e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.793825086334720254e+03,3.931490641833666560e-06
1.542444028720000029e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.793775086333975196e+03,4.102894582772576388e-06
1.542444342578999996e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792175086310133338e+03,4.043828304981232939e-06
