t, u
1.542434662276000023e+09,0.000000000000000000e+00
1.542434692276999950e+09,0.000000000000000000e+00
1.542434722276999950e+09,0.000000000000000000e+00
1.542434752289000034e+09,0.000000000000000000e+00
1.542434782299999952e+09,0.000000000000000000e+00
1.542434812299999952e+09,0.000000000000000000e+00
1.542434842301000118e+09,0.000000000000000000e+00
1.542434872301000118e+09,0.000000000000000000e+00
1.542434902302000046e+09,0.000000000000000000e+00
1.542434948273000002e+09,0.000000000000000000e+00
1.542434978309000015e+09,0.000000000000000000e+00
1.542435008311000109e+09,0.000000000000000000e+00
1.542435038312999964e+09,0.000000000000000000e+00
1.542435068312999964e+09,0.000000000000000000e+00
1.542435098323999882e+09,0.000000000000000000e+00
1.542435128332999945e+09,0.000000000000000000e+00
1.542435158332999945e+09,0.000000000000000000e+00
1.542435188342999935e+09,0.000000000000000000e+00
1.542435218344000101e+09,0.000000000000000000e+00
1.542435263757999897e+09,0.000000000000000000e+00
1.542435293759000063e+09,0.000000000000000000e+00
1.542435323759000063e+09,0.000000000000000000e+00
1.542435353759999990e+09,0.000000000000000000e+00
1.542435383759999990e+09,0.000000000000000000e+00
1.542435413760999918e+09,0.000000000000000000e+00
1.542435443762000084e+09,0.000000000000000000e+00
1.542435473762000084e+09,0.000000000000000000e+00
1.542435503763000011e+09,0.000000000000000000e+00
1.542435533763000011e+09,0.000000000000000000e+00
1.542435578250000000e+09,0.000000000000000000e+00
1.542435608250000000e+09,0.000000000000000000e+00
1.542435638250999928e+09,0.000000000000000000e+00
1.542435668250999928e+09,0.000000000000000000e+00
1.542435698252000093e+09,0.000000000000000000e+00
1.542435728252000093e+09,0.000000000000000000e+00
1.542435758253000021e+09,0.000000000000000000e+00
1.542435788253000021e+09,0.000000000000000000e+00
1.542435818253999949e+09,0.000000000000000000e+00
1.542435848255000114e+09,0.000000000000000000e+00
1.542435893576999903e+09,0.000000000000000000e+00
1.542435923576999903e+09,0.000000000000000000e+00
1.542435953578000069e+09,0.000000000000000000e+00
1.542435983578000069e+09,0.000000000000000000e+00
1.542436013578999996e+09,0.000000000000000000e+00
1.542436043579999924e+09,0.000000000000000000e+00
1.542436073579999924e+09,0.000000000000000000e+00
1.542436103581000090e+09,0.000000000000000000e+00
1.542436133581000090e+09,0.000000000000000000e+00
1.542436163582000017e+09,0.000000000000000000e+00
1.542436204743000031e+09,0.000000000000000000e+00
1.542436234743000031e+09,0.000000000000000000e+00
1.542436264743999958e+09,0.000000000000000000e+00
1.542436294743999958e+09,0.000000000000000000e+00
1.542436324744999886e+09,0.000000000000000000e+00
1.542436354746000051e+09,0.000000000000000000e+00
1.542436384746000051e+09,0.000000000000000000e+00
1.542436414746999979e+09,0.000000000000000000e+00
1.542436444746999979e+09,0.000000000000000000e+00
1.542436474746999979e+09,0.000000000000000000e+00
