t, x, y, z,fl
1540670001.363,39195,-84805,5921.57508823834,4.77209883470028E-06
1540670316.439,39195,-84805,5921.47508823685,4.81680914406548E-06
1540670632.667,39195,-84805,5921.15008823201,4.81982977772862E-06
1540670949.831,39195,-84805,5921.2500882335,4.91852009935744E-06
1540671267.008,39195,-84805,5920.70008822531,4.89918066192112E-06
1540671582.289,39195,-84805,5920.12508821674,5.03453771691752E-06
1540671898.087,39195,-84805,5919.82508821227,4.97966822583956E-06
1540672213.126,39195,-84805,5920.07508821599,4.91876086659177E-06
1540672527.439,39195,-84805,5919.02508820035,4.7547791289952E-06
1540672844.517,39195,-84805,5917.82508818246,4.66508714737243E-06
1540673161.705,39195,-84805,5917.15008817241,4.67416177683186E-06
1540673478.293,39195,-84805,5916.82508816756,4.87626880341562E-06
1540673792.747,39195,-84805,5915.75008815154,4.9043518891733E-06
1540674107.933,39195,-84805,5916.12508815713,4.81317018723974E-06
1540674423.666,39195,-84805,5915.47508814745,4.74212041738208E-06
1540674741.201,39195,-84805,5915.4250881467,4.83828469209045E-06
1540675059.075,39195,-84805,5914.40008813143,4.64808267424299E-06
1540675375.07,39195,-84805,5914.72508813627,4.79109024002696E-06
1540675691.38,39195,-84805,5914.12508812733,4.90206967045767E-06
1540676005.531,39195,-84805,5913.60008811951,4.62497670080393E-06
1540676320.068,39195,-84805,5913.20008811355,4.60593983487724E-06
1540676636.016,39195,-84805,5913.02508811094,4.71403592739153E-06
1540676949.38,39195,-84805,5912.425088102,4.83321007624011E-06
1540677266.37,39195,-84805,5912.80008810759,4.84042488448682E-06
1540677583.167,39195,-84805,5912.1500880979,4.86500470479172E-06
1540677899.415,39195,-84805,5912.10008809716,4.82764874781015E-06
1540678215.353,39195,-84805,5912.05008809641,5.00828022787536E-06
1540678533.018,39195,-84805,5911.75008809194,4.59992963885181E-06
1540678851.397,39195,-84805,5911.22508808412,4.57063107364734E-06
1540679167.499,39195,-84805,5910.70008807629,4.88216453148255E-06
1540679486.377,39195,-84805,5909.62508806028,4.65198176920386E-06
1540679804.569,39195,-84805,5910.05008806661,4.79001732855465E-06
1540680117.961,39195,-84805,5909.05008805171,4.67375784640532E-06
1540680435.621,39195,-84805,5908.95008805022,4.65951714397853E-06
1540680753.25,39195,-84805,5907.97508803569,4.99453914838675E-06
1540681069.063,39195,-84805,5907.8750880342,4.84564943599316E-06
1540681384.313,39195,-84805,5907.72508803196,4.88456590441888E-06
1540681698.669,39195,-84805,5907.40008802712,4.65725682553658E-06
1540682014.38,39195,-84805,5907.325088026,4.68207415943837E-06
1540682330.367,39195,-84805,5907.97508803569,4.84603915263215E-06
1540682647.345,39195,-84805,5907.80008803308,4.83557041078788E-06
1540682963.778,39195,-84805,5908.20008803904,4.532234086817E-06
1540683283.499,39195,-84805,5908.92508804984,4.67585235586673E-06
1540683597.829,39195,-84805,5908.600088045,4.7789451350094E-06
1540683916.463,39195,-84805,5909.3250880558,4.61302906042776E-06
1540684231.207,39195,-84805,5909.3250880558,4.67556192352217E-06
1540684547.996,39195,-84805,5909.10008805245,4.73717281313115E-06
1540684868.817,39195,-84805,5909.75008806214,4.74620721356989E-06
1540685186.575,39195,-84805,5908.75008804724,4.43856721508639E-06
1540685502.745,39195,-84805,5908.67508804612,4.86533129345814E-06
1540685821.955,39195,-84805,5908.95008805022,4.75823565834888E-06
1540686141.142,39195,-84805,5909.37508805655,4.78029739213936E-06
1540686458.646,39195,-84805,5908.8750880491,4.71625546430602E-06
1540686773.79,39195,-84805,5909.25008805469,5.09411927013395E-06
1540687091.914,39195,-84805,5909.1500880532,4.56165207758265E-06
1540687407.457,39195,-84805,5908.22508803941,4.76912393029681E-06
1540687724.127,39195,-84805,5908.57508804463,4.57237134383882E-06
1540688041.872,39195,-84805,5909.72508806177,4.5811720752565E-06
1540688359.98,39195,-84805,5908.67508804612,4.96988919715769E-06
1540688674.133,39195,-84805,5908.65008804575,4.80330989460234E-06
1540688988.508,39195,-84805,5908.77508804761,4.84624969056071E-06
1540689304.056,39195,-84805,5908.72508804686,4.61707703747822E-06
1540689621.451,39195,-84805,5909.02508805133,4.83047633698487E-06
1540689938.51,39195,-84805,5908.05008803681,4.73739336441039E-06
1540690253.505,39195,-84805,5908.47508804314,4.70203582999311E-06
1540690571.951,39195,-84805,5907.82508803345,4.78593890552197E-06
1540690887.779,39195,-84805,5907.97508803569,4.79195097821409E-06
1540691203.072,39195,-84805,5908.35008804128,4.82742215791606E-06
1540691519.933,39195,-84805,5908.42508804239,4.64102244609242E-06
1540691834.057,39195,-84805,5908.40008804202,4.74471335536561E-06
1540692150.659,39195,-84805,5908.30008804053,4.59458960654582E-06
