t,y
7.000000000000000666e-02,0.000000000000000000e+00
5.030000000000000249e+00,0.000000000000000000e+00
1.002999999999999936e+01,0.000000000000000000e+00
1.502999999999999936e+01,0.000000000000000000e+00
2.003000000000000114e+01,0.000000000000000000e+00
2.503000000000000114e+01,0.000000000000000000e+00
3.003000000000000114e+01,0.000000000000000000e+00
3.503000000000000114e+01,0.000000000000000000e+00
4.003000000000000114e+01,0.000000000000000000e+00
4.503000000000000114e+01,0.000000000000000000e+00
5.003000000000000114e+01,0.000000000000000000e+00
5.503000000000000114e+01,0.000000000000000000e+00
6.003000000000000114e+01,0.000000000000000000e+00
6.503000000000000114e+01,4.833279999999999887e+01
7.003000000000000114e+01,5.680639999999999645e+01
7.503000000000000114e+01,5.747200000000000131e+01
8.003000000000000114e+01,6.059519999999999840e+01
8.503000000000000114e+01,5.885439999999999827e+01
9.003000000000000114e+01,5.777920000000000300e+01
9.503000000000000114e+01,5.864959999999999951e+01
1.000300000000000011e+02,5.844480000000000075e+01
1.050300000000000011e+02,5.908480000000000132e+01
1.100300000000000011e+02,5.606400000000000006e+01
1.150300000000000011e+02,5.624320000000000164e+01
1.200300000000000011e+02,5.373440000000000083e+01
1.250300000000000011e+02,5.340160000000000196e+01
1.300300000000000011e+02,5.230080000000000240e+01
1.350300000000000011e+02,5.107200000000000273e+01
1.400300000000000011e+02,4.922879999999999967e+01
1.450300000000000011e+02,4.659199999999999875e+01
1.500300000000000011e+02,4.779520000000000124e+01
1.550300000000000011e+02,4.541440000000000055e+01
1.600300000000000011e+02,4.500480000000000302e+01
1.650300000000000011e+02,4.459519999999999840e+01
1.700300000000000011e+02,4.487680000000000291e+01
1.750300000000000011e+02,4.234239999999999782e+01
1.800300000000000011e+02,4.231680000000000064e+01
1.850300000000000011e+02,4.193280000000000030e+01
1.900300000000000011e+02,4.052479999999999905e+01
1.950300000000000011e+02,4.042240000000000322e+01
2.000300000000000011e+02,3.957759999999999678e+01
2.050300000000000011e+02,3.916799999999999926e+01
2.100300000000000011e+02,3.699199999999999733e+01
2.150300000000000011e+02,3.686399999999999721e+01
2.200300000000000011e+02,3.645439999999999969e+01
2.250300000000000011e+02,3.714560000000000173e+01
2.300300000000000011e+02,3.481600000000000250e+01
2.350300000000000011e+02,3.438080000000000069e+01
2.400300000000000011e+02,3.453439999999999799e+01
2.450300000000000011e+02,3.156480000000000175e+01
2.500300000000000011e+02,3.217920000000000158e+01
2.550300000000000011e+02,3.243520000000000181e+01
2.600299999999999727e+02,3.112959999999999994e+01
2.650299999999999727e+02,2.951679999999999993e+01
2.700299999999999727e+02,2.979840000000000089e+01
2.750299999999999727e+02,2.915840000000000032e+01
2.800299999999999727e+02,2.859519999999999840e+01
2.850299999999999727e+02,2.792960000000000065e+01
2.900299999999999727e+02,2.785279999999999845e+01
2.950299999999999727e+02,2.662399999999999878e+01
3.000299999999999727e+02,2.557440000000000069e+01
3.050299999999999727e+02,2.526719999999999899e+01
3.100299999999999727e+02,2.534400000000000119e+01
3.150299999999999727e+02,2.391039999999999921e+01
3.200299999999999727e+02,2.408960000000000079e+01
3.250299999999999727e+02,2.342399999999999949e+01
3.300299999999999727e+02,2.357760000000000034e+01
3.350299999999999727e+02,2.337280000000000157e+01
3.400299999999999727e+02,2.242559999999999931e+01
3.450299999999999727e+02,2.273280000000000101e+01
3.500299999999999727e+02,2.265599999999999881e+01
3.550299999999999727e+02,2.280959999999999965e+01
3.600299999999999727e+02,2.255359999999999943e+01
3.650299999999999727e+02,2.237440000000000140e+01
3.700299999999999727e+02,2.232319999999999993e+01
3.750299999999999727e+02,2.124800000000000111e+01
3.800299999999999727e+02,2.068479999999999919e+01
3.850299999999999727e+02,2.060800000000000054e+01
3.900299999999999727e+02,2.027520000000000167e+01
3.950299999999999727e+02,1.955839999999999890e+01
4.000299999999999727e+02,1.909759999999999991e+01
4.050299999999999727e+02,1.832959999999999923e+01
4.100299999999999727e+02,1.794559999999999889e+01
4.150299999999999727e+02,1.871359999999999957e+01
4.200299999999999727e+02,1.669119999999999848e+01
4.250299999999999727e+02,1.656319999999999837e+01
4.300299999999999727e+02,1.507840000000000025e+01
4.350299999999999727e+02,1.520640000000000036e+01
4.400299999999999727e+02,1.446400000000000041e+01
4.450299999999999727e+02,1.326079999999999970e+01
4.500299999999999727e+02,1.372160000000000046e+01
4.550299999999999727e+02,1.320960000000000001e+01
4.600299999999999727e+02,1.210880000000000045e+01
4.650299999999999727e+02,1.144319999999999915e+01
4.700299999999999727e+02,1.093120000000000047e+01
4.750299999999999727e+02,1.052159999999999940e+01
4.800299999999999727e+02,9.804800000000000182e+00
4.850299999999999727e+02,8.422399999999999665e+00
4.900299999999999727e+02,7.628800000000000026e+00
4.950299999999999727e+02,8.166399999999999437e+00
5.000299999999999727e+02,7.424000000000000377e+00
5.050299999999999727e+02,6.963199999999999612e+00
5.100299999999999727e+02,6.144000000000000128e+00
5.150299999999999727e+02,5.913599999999999746e+00
5.200299999999999727e+02,5.324799999999999756e+00
5.250299999999999727e+02,6.297600000000000087e+00
5.300299999999999727e+02,5.350399999999999601e+00
5.350299999999999727e+02,3.865600000000000147e+00
5.400299999999999727e+02,3.609599999999999920e+00
5.450299999999999727e+02,3.455999999999999961e+00
5.500299999999999727e+02,2.764800000000000146e+00
5.550299999999999727e+02,2.585599999999999898e+00
5.600299999999999727e+02,2.073599999999999888e+00
5.650299999999999727e+02,1.817600000000000104e+00
5.700299999999999727e+02,1.382400000000000073e+00
5.750299999999999727e+02,9.472000000000000419e-01
5.800299999999999727e+02,5.120000000000000107e-01
5.850299999999999727e+02,6.912000000000000366e-01
5.900299999999999727e+02,7.679999999999999327e-02
5.950299999999999727e+02,3.327999999999999847e-01
6.000299999999999727e+02,1.024000000000000049e-01
6.050299999999999727e+02,2.560000000000000123e-02
6.100299999999999727e+02,2.816000000000000170e-01
6.150299999999999727e+02,2.048000000000000098e-01
6.200299999999999727e+02,0.000000000000000000e+00
6.250299999999999727e+02,0.000000000000000000e+00
6.300299999999999727e+02,5.120000000000000245e-02
6.350299999999999727e+02,0.000000000000000000e+00
6.400299999999999727e+02,0.000000000000000000e+00
6.450299999999999727e+02,0.000000000000000000e+00
6.500299999999999727e+02,0.000000000000000000e+00
6.550299999999999727e+02,0.000000000000000000e+00
